Feature,Importance
NVDA_SMA_7,0.03229734
NVDA_EMA_12,0.031422257
VIX_Open,0.03026016
NVDA_Return,0.030194895
VIX_High,0.02964534
VIX_Low,0.029474033
NVDA_EMA_26,0.029332455
VIX_Close,0.029226778
NVDA_Close_Lag_30,0.028907323
NVDA_SMA_90,0.028618524
Treasury10Y_Low,0.026813569
SP500_Low,0.026195303
SP500_Close,0.025564132
Oil_High,0.024653798
Oil_Volume,0.024613658
Oil_Low,0.024475008
SP500_High,0.024474626
NVDA_SMA_30,0.024396447
NVDA_High,0.024308775
Gold_Close,0.024185939
Treasury10Y_Open,0.02390853
NVDA_Volatility_7,0.023799794
Gold_Low,0.023747543
NVDA_Volatility_30,0.023396438
NVDA_MACD_Signal,0.023300922
Treasury10Y_Close,0.022815378
NVDA_Volume,0.022787245
Gold_Volume,0.022556992
Oil_Open,0.02251546
NVDA_MACD,0.022434542
SP500_Volume,0.022200009
SP500_Open,0.021754567
NVDA_Close_Lag_7,0.021446688
Oil_Close,0.02114632
Treasury10Y_High,0.020711448
NVDA_Close_Lag_1,0.020692902
NVDA_Close,0.020399058
Gold_High,0.019485591
NVDA_Low,0.018866811
NVDA_Open,0.017668262
Gold_Open,0.0153051345
Treasury10Y_Volume,0.0
VIX_Volume,0.0
